,aff_dist_func,aff_k,aff_mask_func,aff_sigma,algorithm,alpha,can_plot,corruption_level,dataset,elapsed_time,labeled_percent,mu,tuning_iter,experiments,mean_acc,sd_acc,each_acc,min_acc,max_acc,median_acc
0,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,38.79635190963745,0.01,99.0,0.5,20,0.7459000000000001,0.3049382651546958,"[0.09866666666666668, 0.1, 0.376, 0.4666666666666667, 0.5106666666666667, 0.5253333333333333, 0.5539999999999999, 0.578, 0.9026666666666666, 0.97, 0.978, 0.9826666666666668, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.986]",0.09866666666666668,0.986,0.974
1,gaussian,15.0,knn,0.2,GTAM,,False,0.0,spiral_hard,28.243638277053837,0.1,99.0,0.0,20,0.9882,0.0017900962109463688,"[0.9853333333333332, 0.9853333333333332, 0.986, 0.986, 0.9866666666666668, 0.9873333333333332, 0.9873333333333332, 0.9873333333333332, 0.988, 0.988, 0.988, 0.988, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9906666666666668, 0.9906666666666668, 0.9906666666666668, 0.9913333333333332]",0.9853333333333332,0.9913333333333332,0.988
2,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral_hard,31.02375149726868,0.1,99.0,2.0,20,0.9790666666666669,0.0021228911104120445,"[0.9766666666666668, 0.9766666666666668, 0.9766666666666668, 0.9766666666666668, 0.9773333333333334, 0.9773333333333334, 0.9773333333333334, 0.978, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9793333333333332, 0.9793333333333332, 0.98, 0.9813333333333332, 0.982, 0.982, 0.982, 0.9840000000000001]",0.9766666666666668,0.9840000000000001,0.9786666666666668
3,gaussian,15.0,knn,0.2,LGC,0.2,False,0.15,spiral_hard,0.7837874889373779,0.01,,,20,0.6829999999999999,0.060940955030258606,"[0.568, 0.5706666666666667, 0.6153333333333333, 0.6246666666666667, 0.638, 0.6426666666666667, 0.6666666666666666, 0.6679999999999999, 0.6713333333333333, 0.68, 0.6826666666666666, 0.69, 0.706, 0.7093333333333334, 0.7140000000000001, 0.7306666666666667, 0.7546666666666667, 0.7606666666666667, 0.77, 0.7966666666666666]",0.568,0.7966666666666666,0.6813333333333333
4,gaussian,15.0,knn,0.2,RF,,False,0.1,spiral_hard,0.3778607845306397,0.01,,,20,0.5976666666666667,0.04486944023126058,"[0.5273333333333333, 0.5473333333333333, 0.5506666666666666, 0.556, 0.5586666666666666, 0.56, 0.5693333333333334, 0.5713333333333334, 0.5820000000000001, 0.5913333333333334, 0.5926666666666667, 0.5986666666666667, 0.6006666666666667, 0.616, 0.6186666666666667, 0.6393333333333333, 0.648, 0.6566666666666666, 0.6679999999999999, 0.7006666666666667]",0.5273333333333333,0.7006666666666667,0.5920000000000001
5,gaussian,15.0,knn,0.2,LGC,0.2,False,0.4,spiral_hard,6.897944450378418,0.1,,,20,0.6200666666666667,0.024616976978409744,"[0.5713333333333334, 0.5733333333333334, 0.5873333333333334, 0.596, 0.6, 0.612, 0.6133333333333333, 0.616, 0.6193333333333333, 0.6206666666666667, 0.622, 0.628, 0.6286666666666667, 0.6286666666666667, 0.634, 0.6406666666666667, 0.6426666666666667, 0.644, 0.6606666666666666, 0.6626666666666666]",0.5713333333333334,0.6626666666666666,0.6213333333333333
6,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral_hard,30.65290760993957,0.01,99.0,0.5,20,0.9158333333333332,0.16269260380648323,"[0.4793333333333333, 0.5326666666666666, 0.5793333333333334, 0.972, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.986]",0.4793333333333333,0.986,0.9843333333333335
7,gaussian,15.0,knn,0.2,GTAM,,False,0.4,spiral_hard,25.768033742904663,0.1,99.0,0.0,20,0.7894666666666666,0.22750654203048024,"[0.124, 0.37466666666666665, 0.4746666666666667, 0.5086666666666667, 0.7493333333333333, 0.76, 0.8353333333333334, 0.8446666666666667, 0.8753333333333333, 0.8759999999999999, 0.8866666666666667, 0.9279999999999999, 0.9346666666666666, 0.94, 0.9446666666666668, 0.9453333333333334, 0.9453333333333334, 0.9453333333333334, 0.946, 0.9506666666666668]",0.124,0.9506666666666668,0.8813333333333333
8,gaussian,15.0,knn,0.2,GTAM,,False,0.25,spiral_hard,32.24758577346802,0.1,99.0,0.0,20,0.9288333333333334,0.08676324746752577,"[0.6153333333333333, 0.7453333333333333, 0.89, 0.9473333333333334, 0.9593333333333334, 0.9593333333333334, 0.9593333333333334, 0.96, 0.96, 0.9606666666666668, 0.9606666666666668, 0.9613333333333334, 0.9613333333333334, 0.9620000000000001, 0.9620000000000001, 0.9620000000000001, 0.9620000000000001, 0.9626666666666668, 0.9626666666666668, 0.9633333333333334]",0.6153333333333333,0.9633333333333334,0.9606666666666668
9,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,30.603074550628662,0.1,99.0,0.25,20,0.9608666666666668,0.021139851781252727,"[0.8953333333333333, 0.9, 0.9646666666666668, 0.9653333333333334, 0.966, 0.966, 0.9666666666666668, 0.9673333333333334, 0.9673333333333334, 0.9673333333333334, 0.968, 0.968, 0.9686666666666668, 0.9686666666666668, 0.9686666666666668, 0.9686666666666668, 0.9693333333333334, 0.97, 0.9706666666666668, 0.9706666666666668]",0.8953333333333333,0.9706666666666668,0.9676666666666667
10,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral_hard,1.8083837032318115,0.01,,,20,0.6148666666666667,0.07026366217485551,"[0.512, 0.542, 0.5426666666666666, 0.5533333333333333, 0.556, 0.5573333333333333, 0.5733333333333334, 0.578, 0.5806666666666667, 0.5826666666666667, 0.5926666666666667, 0.6186666666666667, 0.6213333333333333, 0.6373333333333333, 0.6426666666666667, 0.6913333333333334, 0.7013333333333334, 0.7106666666666667, 0.748, 0.7553333333333333]",0.512,0.7553333333333333,0.5876666666666667
11,gaussian,15.0,knn,0.2,LDST,,False,0.35,spiral_hard,33.484019041061394,0.01,99.0,0.5,20,0.7008,0.3551041537352105,"[0.021333333333333333, 0.08733333333333332, 0.09733333333333333, 0.17866666666666667, 0.276, 0.5553333333333333, 0.624, 0.7133333333333334, 0.726, 0.9059999999999999, 0.9813333333333332, 0.982, 0.982, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668]",0.021333333333333333,0.9846666666666668,0.9436666666666665
12,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,spiral_hard,4.221492290496826,0.1,,,20,0.7941,0.10396928499428194,"[0.614, 0.6393333333333333, 0.6586666666666666, 0.6653333333333333, 0.6773333333333333, 0.7153333333333334, 0.73, 0.76, 0.7633333333333333, 0.828, 0.83, 0.8393333333333334, 0.8506666666666667, 0.8586666666666667, 0.8626666666666667, 0.8873333333333333, 0.894, 0.9006666666666666, 0.9279999999999999, 0.9793333333333332]",0.614,0.9793333333333332,0.829
13,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.1,spiral_hard,2.560325384140014,0.01,,,20,0.6704333333333333,0.04056724184746988,"[0.5793333333333334, 0.6033333333333334, 0.6053333333333333, 0.6353333333333333, 0.642, 0.6446666666666667, 0.6533333333333333, 0.6679999999999999, 0.6746666666666666, 0.6753333333333333, 0.6806666666666666, 0.6833333333333333, 0.6866666666666666, 0.6906666666666667, 0.7020000000000001, 0.7093333333333334, 0.7126666666666667, 0.7173333333333334, 0.7206666666666667, 0.7240000000000001]",0.5793333333333334,0.7240000000000001,0.6779999999999999
14,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.2,spiral_hard,3.228461503982544,0.01,,,20,0.5871666666666666,0.060784089658031046,"[0.4766666666666667, 0.4853333333333333, 0.5093333333333333, 0.5333333333333333, 0.5446666666666666, 0.5486666666666666, 0.5526666666666666, 0.564, 0.5726666666666667, 0.584, 0.59, 0.5966666666666667, 0.606, 0.626, 0.6306666666666667, 0.644, 0.6453333333333333, 0.652, 0.6679999999999999, 0.7133333333333334]",0.4766666666666667,0.7133333333333334,0.587
15,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,34.211796522140496,0.01,99.0,0.5,20,0.7933333333333333,0.3001879411302193,"[0.02, 0.22399999999999998, 0.298, 0.4626666666666666, 0.5579999999999999, 0.6913333333333334, 0.9033333333333332, 0.904, 0.9826666666666668, 0.9826666666666668, 0.9826666666666668, 0.9826666666666668, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9853333333333332, 0.986]",0.02,0.986,0.9826666666666668
16,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,29.59620475769043,0.01,99.0,0.5,20,0.9210666666666667,0.16481415796789628,"[0.42866666666666653, 0.45799999999999996, 0.7906666666666666, 0.982, 0.9833333333333332, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.986, 0.986, 0.986, 0.986, 0.986]",0.42866666666666653,0.986,0.9853333333333332
17,gaussian,15.0,knn,0.2,LGC,0.0001,False,0.2,spiral_hard,3.4435768127441406,0.1,,,20,0.8141333333333334,0.015144636014114041,"[0.774, 0.7979999999999999, 0.8013333333333333, 0.802, 0.804, 0.8059999999999999, 0.8093333333333333, 0.8113333333333334, 0.8133333333333334, 0.8133333333333334, 0.8140000000000001, 0.8146666666666667, 0.8153333333333334, 0.8166666666666667, 0.8213333333333334, 0.8246666666666667, 0.828, 0.8320000000000001, 0.84, 0.8433333333333334]",0.774,0.8433333333333334,0.8136666666666668
18,gaussian,15.0,knn,0.2,RF,,False,0.15,spiral_hard,0.6680607795715332,0.01,,,20,0.6105333333333334,0.06062034861881502,"[0.4733333333333333, 0.5226666666666666, 0.5666666666666667, 0.5686666666666667, 0.5746666666666667, 0.5833333333333334, 0.588, 0.5886666666666667, 0.5993333333333334, 0.602, 0.6046666666666667, 0.628, 0.6326666666666667, 0.634, 0.636, 0.638, 0.6433333333333333, 0.6446666666666667, 0.7186666666666667, 0.7633333333333333]",0.4733333333333333,0.7633333333333333,0.6033333333333333
19,gaussian,15.0,knn,0.2,GTAM,,False,0.35,spiral_hard,31.23465609550476,0.1,99.0,0.0,20,0.8501666666666667,0.1683307425543204,"[0.392, 0.4693333333333333, 0.63, 0.6433333333333333, 0.8453333333333334, 0.8813333333333333, 0.8826666666666667, 0.8906666666666667, 0.892, 0.95, 0.9506666666666668, 0.9506666666666668, 0.9506666666666668, 0.9520000000000001, 0.9520000000000001, 0.9526666666666668, 0.9533333333333334, 0.9540000000000001, 0.9546666666666668, 0.956]",0.392,0.956,0.9503333333333334
20,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,28.5807626247406,0.1,99.0,0.25,20,0.9879999999999998,0.0018499249234015841,"[0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.986, 0.9866666666666668, 0.9866666666666668, 0.9873333333333332, 0.9873333333333332, 0.9873333333333332, 0.9873333333333332, 0.988, 0.988, 0.988, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9906666666666668, 0.9906666666666668, 0.9906666666666668, 0.9913333333333332]",0.9853333333333332,0.9913333333333332,0.9876666666666666
21,gaussian,15.0,knn,0.2,LGC,0.9990000000000001,False,0.1,spiral_hard,3.82176685333252,0.1,,,20,0.8363666666666667,0.10654377816966447,"[0.6053333333333333, 0.6613333333333333, 0.6946666666666667, 0.7346666666666667, 0.7513333333333333, 0.772, 0.7806666666666666, 0.8, 0.8153333333333334, 0.858, 0.8586666666666667, 0.8686666666666667, 0.882, 0.9213333333333332, 0.9246666666666666, 0.9393333333333334, 0.9446666666666668, 0.9640000000000001, 0.9740000000000001, 0.9766666666666668]",0.6053333333333333,0.9766666666666668,0.8583333333333334
22,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,35.58880591392517,0.1,99.0,1.0,20,0.9353999999999999,0.06881178839575547,"[0.6746666666666666, 0.84, 0.8913333333333333, 0.9146666666666666, 0.9146666666666666, 0.9246666666666666, 0.9620000000000001, 0.9653333333333334, 0.9653333333333334, 0.9666666666666668, 0.9666666666666668, 0.9666666666666668, 0.9673333333333334, 0.968, 0.9693333333333334, 0.9693333333333334, 0.9693333333333334, 0.97, 0.9706666666666668, 0.9713333333333334]",0.6746666666666666,0.9713333333333334,0.9666666666666668
23,gaussian,15.0,knn,0.2,LDST,,False,0.1,spiral_hard,28.33126163482666,0.1,99.0,0.25,20,0.9772333333333334,0.001829085989109196,"[0.9713333333333334, 0.976, 0.976, 0.976, 0.976, 0.976, 0.9766666666666668, 0.9766666666666668, 0.9773333333333334, 0.9773333333333334, 0.9773333333333334, 0.978, 0.978, 0.978, 0.978, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.98, 0.98]",0.9713333333333334,0.98,0.9773333333333334
24,gaussian,15.0,knn,0.2,LDST,,False,0.25,spiral_hard,25.97454142570496,0.1,99.0,0.5,20,0.9367333333333334,0.09661007538899176,"[0.5333333333333333, 0.8386666666666667, 0.95, 0.9573333333333334, 0.9620000000000001, 0.9626666666666668, 0.9640000000000001, 0.9646666666666668, 0.9653333333333334, 0.9653333333333334, 0.966, 0.966, 0.9666666666666668, 0.9666666666666668, 0.9666666666666668, 0.9673333333333334, 0.9673333333333334, 0.9673333333333334, 0.968, 0.9693333333333334]",0.5333333333333333,0.9693333333333334,0.9656666666666667
25,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,30.150634288787842,0.01,99.0,1.0,20,0.9627000000000001,0.09958569174334235,"[0.5286666666666666, 0.9806666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.986, 0.986, 0.986, 0.986, 0.986, 0.986, 0.9866666666666668, 0.9873333333333332, 0.988, 0.988]",0.5286666666666666,0.988,0.9856666666666666
26,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,32.05683755874634,0.01,99.0,2.0,20,0.9301666666666668,0.14775954565892974,"[0.47600000000000003, 0.5073333333333333, 0.888, 0.9746666666666668, 0.982, 0.9833333333333332, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9840000000000001, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.986, 0.9866666666666668, 0.9866666666666668, 0.9866666666666668, 0.9866666666666668]",0.47600000000000003,0.9866666666666668,0.9840000000000001
27,gaussian,15.0,knn,0.2,LGC,0.2,False,0.35,spiral_hard,2.0297982692718506,0.1,,,20,0.6765333333333333,0.018459083882408082,"[0.6406666666666667, 0.654, 0.654, 0.6606666666666666, 0.6646666666666666, 0.6653333333333333, 0.6653333333333333, 0.6659999999999999, 0.6686666666666666, 0.6746666666666666, 0.6773333333333333, 0.6806666666666666, 0.6826666666666666, 0.6846666666666666, 0.6853333333333333, 0.69, 0.6973333333333334, 0.6986666666666667, 0.7013333333333334, 0.7186666666666667]",0.6406666666666667,0.7186666666666667,0.6759999999999999
28,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,26.59347939491272,0.1,99.0,0.5,20,0.9467999999999999,0.03832875334958515,"[0.8233333333333334, 0.898, 0.8986666666666666, 0.8986666666666666, 0.9226666666666666, 0.9406666666666668, 0.9593333333333334, 0.9653333333333334, 0.9666666666666668, 0.9673333333333334, 0.9673333333333334, 0.968, 0.9686666666666668, 0.9686666666666668, 0.9693333333333334, 0.97, 0.97, 0.9706666666666668, 0.9706666666666668, 0.972]",0.8233333333333334,0.972,0.9673333333333334
29,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,27.67925429344177,0.1,99.0,0.25,20,0.8985333333333333,0.12542347822034317,"[0.5379999999999999, 0.594, 0.7093333333333334, 0.8486666666666667, 0.9093333333333332, 0.9440000000000001, 0.9540000000000001, 0.956, 0.9566666666666668, 0.9573333333333334, 0.958, 0.9586666666666668, 0.9593333333333334, 0.9593333333333334, 0.96, 0.9606666666666668, 0.9613333333333334, 0.9613333333333334, 0.9620000000000001, 0.9626666666666668]",0.5379999999999999,0.9626666666666668,0.9576666666666667
30,gaussian,15.0,knn,0.2,RF,,False,0.4,spiral_hard,0.3370938301086426,0.1,,,20,0.6098999999999999,0.029386523744359024,"[0.5526666666666666, 0.556, 0.5673333333333334, 0.5833333333333334, 0.5873333333333334, 0.5893333333333334, 0.6006666666666667, 0.6066666666666667, 0.6126666666666667, 0.614, 0.6173333333333333, 0.6173333333333333, 0.618, 0.62, 0.6213333333333333, 0.632, 0.6459999999999999, 0.6513333333333333, 0.6513333333333333, 0.6533333333333333]",0.5526666666666666,0.6533333333333333,0.6156666666666666
31,gaussian,15.0,knn,0.2,LDST,,False,0.4,spiral_hard,28.87474346160889,0.1,99.0,1.0,20,0.7986,0.2675437160540311,"[0.11266666666666665, 0.262, 0.26266666666666666, 0.5986666666666667, 0.648, 0.8266666666666667, 0.8853333333333333, 0.8886666666666667, 0.892, 0.958, 0.9620000000000001, 0.9620000000000001, 0.9626666666666668, 0.9626666666666668, 0.9626666666666668, 0.9633333333333334, 0.9640000000000001, 0.9653333333333334, 0.966, 0.9666666666666668]",0.11266666666666665,0.9666666666666668,0.96
32,gaussian,15.0,knn,0.2,LDST,,False,0.3,spiral_hard,16.137177467346188,0.01,99.0,1.0,20,0.6344000000000001,0.350306938428446,"[0.02266666666666667, 0.02333333333333333, 0.11, 0.278, 0.316, 0.3366666666666667, 0.4766666666666667, 0.5206666666666667, 0.5493333333333333, 0.552, 0.7193333333333334, 0.904, 0.9833333333333332, 0.9846666666666668, 0.9846666666666668, 0.9846666666666668, 0.9853333333333332, 0.9853333333333332, 0.9853333333333332, 0.986]",0.02266666666666667,0.986,0.6356666666666667
33,gaussian,15.0,knn,0.2,LGC,0.9,False,0.15,spiral_hard,6.025912046432495,0.01,,,20,0.7169333333333333,0.048897807267356624,"[0.632, 0.6579999999999999, 0.662, 0.662, 0.6786666666666666, 0.682, 0.6846666666666666, 0.6853333333333333, 0.6866666666666666, 0.7020000000000001, 0.7206666666666667, 0.7253333333333334, 0.7340000000000001, 0.7566666666666667, 0.7573333333333333, 0.7746666666666666, 0.7753333333333333, 0.7786666666666666, 0.7879999999999999, 0.7946666666666666]",0.632,0.7946666666666666,0.7113333333333334
34,gaussian,15.0,knn,0.2,GTAM,,False,0.2,spiral_hard,26.800504446029663,0.1,99.0,0.0,20,0.9593666666666667,0.021398312498367225,"[0.8946666666666667, 0.8959999999999999, 0.9633333333333334, 0.9640000000000001, 0.9646666666666668, 0.9646666666666668, 0.9646666666666668, 0.966, 0.9666666666666668, 0.9666666666666668, 0.9666666666666668, 0.9666666666666668, 0.9666666666666668, 0.9673333333333334, 0.9673333333333334, 0.9673333333333334, 0.968, 0.9686666666666668, 0.9686666666666668, 0.9686666666666668]",0.8946666666666667,0.9686666666666668,0.9666666666666668
35,gaussian,15.0,knn,0.2,LDST,,False,0.0,spiral_hard,28.375012397766113,0.1,99.0,2.0,20,0.9876666666666667,0.0015420044674960497,"[0.9840000000000001, 0.9853333333333332, 0.986, 0.986, 0.9866666666666668, 0.9866666666666668, 0.9873333333333332, 0.9873333333333332, 0.9873333333333332, 0.988, 0.988, 0.988, 0.988, 0.9886666666666668, 0.9886666666666668, 0.9886666666666668, 0.9893333333333332, 0.9893333333333332, 0.9893333333333332, 0.9906666666666668]",0.9840000000000001,0.9906666666666668,0.988
36,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,23.452163696289066,0.1,99.0,0.25,20,0.9736666666666668,0.0017950549357114976,"[0.9686666666666668, 0.9713333333333334, 0.9713333333333334, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9733333333333334, 0.9733333333333334, 0.9733333333333334, 0.9733333333333334, 0.9740000000000001, 0.9740000000000001, 0.9746666666666668, 0.9746666666666668, 0.9753333333333334, 0.9753333333333334, 0.9753333333333334, 0.9753333333333334, 0.9753333333333334, 0.9766666666666668]",0.9686666666666668,0.9766666666666668,0.9736666666666667
37,gaussian,15.0,knn,0.2,LDST,,False,0.2,spiral_hard,26.958696365356445,0.1,99.0,1.0,20,0.9339333333333333,0.09951993658447429,"[0.5286666666666666, 0.8553333333333333, 0.868, 0.8946666666666667, 0.9646666666666668, 0.9673333333333334, 0.9686666666666668, 0.9686666666666668, 0.9693333333333334, 0.9706666666666668, 0.9706666666666668, 0.9713333333333334, 0.972, 0.972, 0.972, 0.9726666666666668, 0.9726666666666668, 0.9726666666666668, 0.9733333333333334, 0.9733333333333334]",0.5286666666666666,0.9733333333333334,0.9706666666666668
38,gaussian,15.0,knn,0.2,LGC,0.2,False,0.25,spiral_hard,3.0491225719451904,0.01,,,20,0.5981000000000001,0.04660389826327122,"[0.5206666666666667, 0.5306666666666666, 0.5393333333333333, 0.5466666666666666, 0.5546666666666666, 0.5546666666666666, 0.5546666666666666, 0.588, 0.59, 0.602, 0.608, 0.6126666666666667, 0.6226666666666667, 0.6266666666666667, 0.6373333333333333, 0.64, 0.6446666666666667, 0.6466666666666666, 0.6513333333333333, 0.6906666666666667]",0.5206666666666667,0.6906666666666667,0.605
39,gaussian,15.0,knn,0.2,LDST,,False,0.15,spiral_hard,31.766468048095703,0.1,99.0,2.0,20,0.9776666666666667,0.0017448336437736202,"[0.9733333333333334, 0.9746666666666668, 0.976, 0.976, 0.9766666666666668, 0.9773333333333334, 0.9773333333333334, 0.9773333333333334, 0.9773333333333334, 0.978, 0.978, 0.978, 0.978, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9786666666666668, 0.9793333333333332, 0.98, 0.9813333333333332]",0.9733333333333334,0.9813333333333332,0.978
